timestamp,frame_num,action,reasoning,detected_objects
1775716515.1561706,0,STOP,Critical: Dynamic 'person' close (1.10m),tv(unknown | d:9.10m | r:0.05); person(dynamic_obstacles | d:1.10m | r:2.49)
1775716515.9383628,1,STOP,Critical: Dynamic 'person' close (1.15m),tv(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:1.15m | r:2.40)
1775716516.8624191,2,STOP,Critical: Dynamic 'person' close (1.24m),person(dynamic_obstacles | d:1.24m | r:2.23); tv(unknown | d:7.65m | r:0.06)
1775716518.0348825,3,STOP,Critical: Dynamic 'person' close (1.31m),person(dynamic_obstacles | d:1.31m | r:2.13); tv(unknown | d:8.58m | r:0.06)
1775716519.0663395,4,STOP,Critical: Dynamic 'person' close (1.29m),person(dynamic_obstacles | d:1.29m | r:2.16); tv(unknown | d:9.15m | r:0.05)
1775716520.0500882,5,STOP,Critical: Dynamic 'person' close (1.09m),person(dynamic_obstacles | d:1.09m | r:2.52); tv(unknown | d:10.00m | r:0.05)
1775716520.7647488,6,STOP,Critical: Dynamic 'person' close (1.20m),tv(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:1.20m | r:2.30)
1775716521.5184937,7,STOP,Critical: Dynamic 'person' close (1.21m),person(dynamic_obstacles | d:1.21m | r:2.30); tv(unknown | d:10.00m | r:0.05)
1775716522.462198,8,STOP,Critical: Dynamic 'person' close (1.17m),person(dynamic_obstacles | d:1.17m | r:2.36); tv(unknown | d:10.00m | r:0.05)
1775716523.0190034,9,STOP,Critical: Dynamic 'person' close (1.19m),tv(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:1.19m | r:2.33)
1775716523.4780812,10,STOP,Critical: Dynamic 'person' close (1.18m),person(dynamic_obstacles | d:1.18m | r:2.34); tv(unknown | d:10.00m | r:0.05)
1775716523.926542,11,STOP,Critical: Dynamic 'person' close (1.24m),tv(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:1.24m | r:2.24)
